Unit Type,Unit No,Unit Postfix,Unit Name,Short Name,Super Short Name,Warrant,Meeting Dates,Last Installation,Location,Email,
Craft,137,137,Lodge of Amity,Lodge of Amity,Amity,Warrant dated 1 April 1765. Bi-Centenary Warrant granted 1965.,Tyles at 6.15 pm on the third Wednesday of each month.  Installation January,January 21st 2026,Poole,137@dorsetfreemasonry.info,
Craft,170,170,All Souls Lodge,All Souls Lodge,All Souls,"Founded at Tiverton, 24 October, 1767. First Meeting at Weymouth on 16 June 1804. Bi-Centenary Warrant granted 1967.","Tyles at 6.00 pm on the second Friday, and on St  John Baptist and St  John EvangeliSt  Installation St  John EvangeliSt",December 27th 2025,Weymouth,170@dorsetfreemasonry.info,
Craft,386,386,Lodge of Unity,Lodge of Unity,Unity,"Warrant dated 10 March, 1827. Centenary Warrant granted 1927.",Tyles at 6.00 pm on the Last Wednesday Jan-Nov.  third Wednesday Dec.  Installation October.,October 15th 2025,Wareham,386@dorsetfreemasonry.info,
Craft,417,417,Lodge of Faith and Unanimity,Lodge of Faith & Unanimity,Faith & Unanimity,Warrant dated 9 April 1834. Centenary Warrant granted 1934.,Tyles at 6.30 pm on the second Monday Sept - Jun.  Installation January.,January 12th 2026,Dorchester,417@dorsetfreemasonry.info,
Craft,472,472,Lodge of Friendship and Sincerity,Lodge of Friendship & Sincerity,Friendship & Sincerity,"Warrant dated 17 October, 1840. Centenary Warrant granted 1940.","Tyles at 6.30 pm on the second Thurs Jan & Dec.  Thursday nearest Full Moon, except for December and January (Installation) when second Thursday.",January 8th 2026,Shaftesbury,472@dorsetfreemasonry.info,
Craft,622,622,Lodge of St Cuthberga,Lodge of St Cuthberga,St Cuthberga,Warrant dated 17 September 1853. Centenary Warrant granted 1953,Tyles at 6.15 pm on the the first Monday from September to July except for the Installation on the first Tuesday in May.,May 6th 2025,Wimborne,622@dorsetfreemasonry.info,
Craft,665,665,Montagu Lodge,Montagu Lodge,Montagu,Warrant dated 26 February 1856. Centenary Warrant granted 1956.,Tyles at 6.30 pm on the second Monday October - July except for the Installation on the first Tuesday in May,May 6th 2025,Lyme Regis,665@dorsetfreemasonry.info,
Craft,707,707,St Mary's Lodge,St Mary's Lodge,St Mary's,Warrant dated 18 June 1857. Centenary Warrant granted 1957.,Tyles at 6.30 pm on the second Thursday September - May.  Installation November at 4.30pm.,November 13th 2025,Bridport,707@dorsetfreemasonry.info,
Craft,708,708,Carnarvon Lodge,Carnarvon Lodge,Carnarvon,"Hallstone Lodge. Warrant of Constitution given on the 18th June 1857. Centenary Warrant on the 18th June 1957.  Founding Lodge of the Province of Middlesex on the 22nd January, 1870.","Tyles at 11:00 am on the fourth Weds Feb, first Wed May, first Wed Sept and third Wed Nov.  Installation May.",May 7th 2025,Lyme Regis,708@dorsetfreemasonry.info,
Craft,1037,1037,Portland Lodge,Portland Lodge,Portland,Warrant dated 20 October 1864. Consecrated 21 June 1865. Centenary Warrant granted 1965.,Tyles at 6.15 pm on the third Thursday September - June.  Installation January.,January 15th 2026,Portland,1037@dorsetfreemasonry.info,
Craft,1146,1146,De Moulham Lodge,De Moulham Lodge,De Moulham,Warrant dated 16 January 1867. Consecrated 23 March 1867. Centenary Warrant granted 1967.,Tyles at 6.30 pm on the third Monday September - June.  Installation meeting June at 4.45pm.,June 16th 2025,Swanage,1146@dorsetfreemasonry.info,
Craft,1168,1168,Lodge of Benevolence,Lodge of Benevolence,Benevolence,Warrant dated 3 May 1867. Consecrated 27 August 1867. Centenary Warrant granted 1967,Tyles at 6.30 pm on the second Monday Jan - Jun and Sept & Nov.  first Monday Oct.  Installation first Monday of October also at 5.30pm.,October 6th 2025,Sherborne,1168@dorsetfreemasonry.info,
Craft,1266,1266,Lodge of Honour and Friendship,Lodge of Honour & Friendship,Honour & Friendship,Warrant dated 22 May 1869. Centenary Warrant granted 1969.,Tyles at 6.15 pm on the Tuesday on or before each full moon.  W.M.  elected first regular Meeting October.  Installed next regular Meeting.,November 4th 2025,Blandford,1266@dorsetfreemasonry.info,
Craft,1367,1367,Beaminster Manor Lodge,Beaminster Manor,Beaminster,Warrant dated 3 August 1871. Centenary Warrant granted 1972.,Tyles at 6.30 pm on the second Tuesday October to May.  Installation March.,March 10th 2026,Beaminster,1367@dorsetfreemasonry.info,
Craft,2559,2559,St Aldhelm's Lodge,St Aldhelm's Lodge,St Aldhelm's,Warrant dated 2 May 1895. Centenary Warrant granted 1995.,"Tyles at 6.30pm on the second Tuesday, October (Installation 4.30pm) to June (Installation)",October 14th 2025,Branksome,2559@dorsetfreemasonry.info,
Craft,2689,2689,King's Court Lodge,King's Court Lodge,King's Court,Warrant dated 9 December 1897.,Tyles at 6.30 pm on the third Tuesday January to November (Installation) except for July and August and the second Tuesday in December.,November 18th 2025,Gillingham,2689@dorsetfreemasonry.info,
Craft,3366,3366,Dorset Masters Lodge,Dorset Masters Lodge,Dorset Masters,Warrant dated 20 March 1909.,"Tyles at 2.00 pm on the first Thursday in March, June (Installation) and September.",June 5th 2025,Dorchester,3366@dorsetfreemasonry.info,
Craft,3473,3473,United Service Lodge,United Service Lodge,United Service,Warrant dated 30 September 1910.,Tyles at 6.15 pm on the third Monday September - June.  Installation November.,November 17th 2025,Portland,3473@dorsetfreemasonry.info,
Craft,3625,3625,Blackmore Vale Lodge,Blackmore Vale Lodge,Blackmore Vale,Warrant dated 5 September 1912.,Tyles at 6.30 pm on the Last Friday Sep - Jun.  Installation October.,November 28th 2025,Sturminster Newton,3625@dorsetfreemasonry.info,
Craft,3878,3878,Dunckerley Lodge,Dunckerley Lodge,Dunckerley,Warrant dated 22 July 1918,"Tyles at 6.15 pm on the third Monday, September (Installation) to May.",September 15th 2025,Poole,3878@dorsetfreemasonry.info,
Craft,4355,4355,Purbeck Lodge,Purbeck Lodge,Purbeck,Warrant dated 7 September 1921,"Tyles at 6.15 pm on the first Wednesday, October (Installation) to July.",October 1st 2025,Branksome,4355@dorsetfreemasonry.info,
Craft,5331,5331,Kinson Lodge,Kinson Lodge,Kinson,Warrant dated 21 December 1931,"Tyles at 6.00 pm on the third Tuesday, September to June.  Installation April.",April 21st 2026,Kinson,5331@dorsetfreemasonry.info,
Craft,6445,6445,Loyal Manor Lodge,Loyal Manor Lodge,Loyal Manor,Warrant dated 5 February 1947. Consecrated 12 November 1947.,Tyles at 6.15 pm on the fourth Friday of September to June except December when third Friday.  Installation October.,March 14th 2026,Portland,6445@dorsetfreemasonry.info,
Craft,6525,6525,Ashley Lodge,Ashley Lodge,Ashley,Warrant dated 4 June 1947. Consecrated 26 November 1947.,Tyles at 6.00 pm on the Last Friday Jan - Jun & September plus second Friday in Dec,October 24th 2025,Poole,6525@dorsetfreemasonry.info,
Craft,6827,6827,Northbourne Lodge,Northbourne Lodge,Northbourne,Warrant dated 2 February 1949. Consecrated 22 June 1949.,"Tyles at 6.00 pm on the first Friday, September to June.  Installation February.",February 6th 2026,Kinson,6827@dorsetfreemasonry.info,
Craft,7300,7300,London Haven Lodge,London Haven Lodge,London Haven,Warrant dated 29 July 1953. Consecrated 20 March 1954.,"Tyles at 5.30 pm on the third Saturday, September to May.  Installation March.",March 21st 2026,Kinson,7300@dorsetfreemasonry.info,
Craft,7860,7860,Ferndown Lodge,Ferndown Lodge,Ferndown,Warrant dated 12 September 1962. Consecrated 3 November 1962.,"Tyles at 6.00 pm on the fourth Wednesday, January to May and September to November.  Installation February.",February 25th 2026,Wimborne,7860@dorsetfreemasonry.info,
Craft,7873,7873,Vindelis Lodge,Vindelis Lodge,Vindelis,Warrant dated 14 November 1962 consecrated 9 May 1963.,"Tyles at 6.30 pm on the second Thursday, September to June, except December.  Installation May.",May 8th 2025,Portland,7873@dorsetfreemasonry.info,
Craft,7907,7907,Llewellin Lodge,Llewellin Lodge,Llewellin,Warrant dated 13 March 1963. Consecrated 27 July 1963.,"Tyles at 6.15 pm on the fourth Monday, January to November, except June, July and August and on the second Wednesday in December.  Installation September.",September 22nd 2025,Poole,7907@dorsetfreemasonry.info,
Craft,7986,7986,Lodge of St Martin,Lodge of St Martin,St Martin,Warrant dated 10 June1964. Consecrated 31 August 1964.,Tyles at 6.15 pm on the third Thursday of September to June.  Installation April.,April 16th 2026,Wareham,7986@dorsetfreemasonry.info,
Craft,8025,8025,Trinity Lodge,Trinity Lodge,Trinity,Warrant dated 10 March 1965. Consecrated 19 May 1965.,"Tyles at 6.00 pm on the second Monday in October to May, except for December.  Installation May.",May 12th 2025,Portland,8025@dorsetfreemasonry.info,
Craft,8099,8099,Vespasian Lodge,Vespasian Lodge,Vespasian,Warrant dated 9 March 1966. Consecrated 19 May 1966.,Tyles at 6.00 pm on the third Tuesday October - June.  Installation June.,June 17th 2025,Wimborne,8099@dorsetfreemasonry.info,
Craft,8118,8118,Quintus Lodge,Quintus Lodge,Quintus,Warrant dated 8 June 1966. Consecrated 10 September 1966.,Tyles at 6.15 pm on the fourth Tuesday September -May (Excl.  December).  Installation October.,October 28th 2025,Portland,8118@dorsetfreemasonry.info,
Craft,8149,8149,Chesil Lodge,Chesil Lodge,Chesil,Warrant dated 14 December 1966. Consecrated 1 April 1967.,"Tyles at 6.15 pm on the the fourth Wednesday of September through to June, except April (Installation) and December when third Wednesday.",April 15th 2026,Portland,8149@dorsetfreemasonry.info,
Craft,8290,8290,Bleckly Clarke Lodge,Bleckly Clarke Lodge,Bleckly Clarke,Warrant dated 30 April 1969. Consecrated 9 July 1969.,"Tyles at 6.00 pm on the first Thursday of February, March, April (Installation 4.30pm), June, August, October and December.",April 2nd 2026,Blandford,8290@dorsetfreemasonry.info,
Craft,8315,8315,Brit Valley Lodge,Brit Valley Lodge,Brit Valley,Warrant dated 10 December 1969. Consecrated 23 April 1970.,Tyles at 6.30 pm on the fourth Friday from October to April except for December.  (Installation April at 4.30pm).,April 25th 2025,Bridport,8315@dorsetfreemasonry.info,
Craft,8479,8479,Lodge of Saint Mark,Lodge of Saint Mark,St Mark,Warrant dated 8 November 1972. Consecrated 24 February 1973.,Tyles at 6.30 pm on the second Monday September - May.  Installation May (5.00pm).,May 12th 2025,Kinson,8479@dorsetfreemasonry.info,
Craft,8641,8641,Broadstone Lodge,Broadstone Lodge,Broadstone,Warrant dated 12 February 1975. Consecrated 26 July 1975.,"Tyles at 6.00 pm on the second Wednesday of September (Installation) to April, except for December when third Tuesday.",September 10th 2025,Poole,8641@dorsetfreemasonry.info,
Craft,8645,8645,Lodge of Hospitality and Concord,Lodge of Hospitality & Concord,Hospitality & Concord,Warrant dated 12 March 1975. Consecrated 6 August 1975.,Tyles at 6.00 pm on the fourth Tuesday of September (Installation 4.30pm) to April and the second Wednesday in December.,September 23rd 2025,Branksome,8645@dorsetfreemasonry.info,
Craft,8726,8726,Durnovarian Lodge,Durnovarian Lodge,Durnovarian,Warrant dated 9 June 1976. Consecrated 23 October 1976.,"Tyles at 6.30 pm on the the first Thursday of every month except January, July, August and December.  Installation November.",November 6th 2025,Dorchester,8726@dorsetfreemasonry.info,
Craft,9050,9050,Amphibious Lodge,Amphibious Lodge,Amphibious,Warrant dated 9 June 1982. Consecrated 13 November 1982.,"Tyles at 6.00 pm on the second Wednesday from September (Installation 4.00pm) to May, except December.",September 10th 2025,Wimborne,9050@dorsetfreemasonry.info,
Craft,9177,9177,Verwood Lodge,Verwood Lodge,Verwood,Warrant dated 13 November 1985. Consecrated 8 March 1986.,"Tyles at 6.00 pm on the first Thursday of each month, except for January, April, July and AuguSt  Installation September.",September 4th 2025,Wimborne,9177@dorsetfreemasonry.info,
Craft,9508,9508,Kenneth Cross Lodge of Dorset Provincial Grand Stewards,Dorset Provincial Grand Stewards,Dorset Stewards,Warrant dated 10 February 1993. Consecrated 3 April 1993.,"Tyles at 6.00 pm on the the third Wednesday in February, last Saturday in April (Installation), second Wednesday in June, third Wednesday in November.",April 26th 2025,Wareham,9508@dorsetfreemasonry.info,
Craft,9546,9546,Dorset Fairway Lodge,Dorset Fairway Lodge,Dorset Fairway,Warrant dated 9 February 1994. Consecrated 6 April 1994.,"Tyles at 6.15 pm on the third Friday in March (Installation), third Thursday in February, April, May, June and October.",March 20th 2026,Dorchester,9546@dorsetfreemasonry.info,
Craft,9649,9649,Fraternal Lodge of Dorset,Fraternal Lodge of Dorset,Fraternal,Warrant dated 12 March 1997. Consecrated 19 June 1997.,"Tyles at 10.30 am on the second Thursday in March (Installation), May, September and December.",March 12th 2026,Kinson,9649@dorsetfreemasonry.info,
Craft,9689,9689,Brownsea Island Lodge,Brownsea Island Lodge,Brownsea Island,Warrant dated 11 November 1998. Consecrated 27 March 1999.,"Tyles at 6.00 pm on the second Friday in February (Installation) June and December, third Friday in April, September and November.",February 14th 2026,Wareham,9689@dorsetfreemasonry.info,
Craft,9727,9727,Canford Lodge,Canford Lodge,Canford,Warrant dated 13 September 2000. Consecrated 22 February 2001.,"Tyles at 6.00 pm on the first Thursday in October to June, Installation (5.00pm) February.",February 5th 2026,Kinson,9727@dorsetfreemasonry.info,
Craft,9942,9942,Dorset Sportsmen's Lodge,Dorset Sportsmen's Lodge,Sportsmen's ,Consecrated 8th April 2017,"Tyles at 6.30 pm on the first Tuesday in June, October and December and the last Monday in February.  Installation on the first Saturday in April.",April 4th 2026,Wimborne,9942@dorsetfreemasonry.info,
Mark,99,99,St Cuthberga,St Cuthberga,St Cuthberga,"Warrant dated 3rd December 1867. Transferred from Trowbridge, Wiltshire to Wimborne Minster on 27th June 1870. Centenary Warrant dated 1970. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.","Tyles at 6.00 pm on the second Monday in February (Installation), April, October and November.",February 9th 2026,Wimborne,sec99@dorsetmark.org.uk,
Mark,121,121,St Mary’s,St Mary’s,St Mary’s,Warrant dated 10 November 1870. Transferred from Bridport to Blandford on 27 March 1902. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.30 pm on the last Thursday in January, March, May (Installation), September and November.",May 29th 2025,Blandford,sec121@dorsetmark.org.uk,
Mark,126,126,All Souls,All Souls,All Souls,Warrant dated 19th January 1871. Centenary Warrant dated 1971. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.30 pm on the third Tuesday in January, March (Installation), September and November.",January 20th 2026,Weymouth,sec126@dorsetmark.org.uk,
Mark,132,132,Amity,Amity,Amity,Warrant dated 25th April 1871. Centenary Warrant dated 4th February 1997. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.00 pm on the second Thursday in February (Installation), May, September and November.",February 12th 2026,Poole,sec132@dorsetmark.org.uk,
RAM,132,132,Amity,Amity,Amity,Warrant dated 22nd April 1919. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.00 pm on the fourth Tuesday in January, March (Installation), June and November.",January 27th 2026,Poole,scribe132@dorsetmark.org.uk,
Mark,133,133,Portland,Portland,Portland,Warrant dated 3rd May 1871. Transferred from Dorchester to Portland on 10th March 1882. Centenary Warrant dated 1982. Keystone Lodge. Grand Patron Gold of the Mark Benevolent Fund.,"Tyles at 6.30pm and (6.00pm on night of Installation.) on the second Wednesday in January, February (Installation), March, October, November and December.",February 11th 2026,Portland,sec133@dorsetmark.org.uk,
RAM,133,133,Portland,Portland,Portland,Warrant dated 2nd May 1946. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.30 pm on the first Wednesday in March, May, October (Installation) and December.",October 1st 2025,Portland,scribe133@dorsetmark.org.uk,
Mark,634,634,Naval and Military,Naval & Military,Naval & Military,Warrant dated 6th November 1911. Centenary Warrant dated 2011. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.15 pm on the first Monday in February, April, June, October and November (Installation).",November 3rd 2025,Portland,sec134@dorsetmark.org.uk,
Mark,690,690,Victory,Victory,Victory,Warrant dated 5th June 1919. Double Keystone Lodge. Grand Patron Gold of the Mark Benevolent Fund.,"Tyles at 6.30 pm on the fourth Monday in March, May, September and November (Installation).",November 24th 2025,Bridport,sec690@dorsetmark.org.uk,
RAM,690,690,Victory,Victory,Victory,Warrant dated 1st June 1978. Consecrated 8th September 1978. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.30 pm on the second Friday in March, May (Installation) and November.  Tyles at 6.30pm.",March 14th 2026,Bridport,scribe690@dorsetmark.org.uk,
Mark,763,763,Anglebury,Anglebury,Anglebury,Warrant dated 13th April 1922. Transferred from Wareham to Swanage 1925. Centenary Warrant dated 2022. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.00 pm on the second Wednesday in January, March and May (Installation) and November.",May 14th 2025,Wareham,sec763@dorsetmark.org.uk,
RAM,763,763,Anglebury,Anglebury,Anglebury,Warrant and Consecration on 9th April 2003. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.30 pm on the second Wednesday in February and April (Installation), June and September.",April 8th 2026,Wareham,scribe763@dorsetmark.org.uk,
Mark,1095,1095,St Edward the Martyr,St Edward the Martyr,St Edward the Martyr,Warrant dated 2nd January 1948. Consecrated 5th May 1948. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.30 pm on the third Friday in January, March (Installation), May, September and November.",March 20th 2026,Shaftesbury,sec1095@dorsetmark.org.uk,
RAM,1095,1095,St Edward the Martyr,St Edward the Martyr,St Edward the Martyr,Warrant dated 2nd September 1954. Consecrated on 26th October 1954. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.30 pm on the third Friday in February, April, June and October (Installation).",October 17th 2025,Shaftesbury,scribe1095@dorsetmark.org.uk,
Mark,1163,1163,Kinson,Kinson,Kinson,Warrant dated 16th April 1952. Consecrated 9th July 1952. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.00 pm on the fourth Monday in January, March, June and October (Installation).",October 27th 2025,Kinson,sec1163@dorsetmark.org.uk,
Mark,1477,1477,Branksome,Branksome,Branksome,Warrant dated 9th September 1976. Consecrated 31st January 1977. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.00 pm on the first Monday in February (Installation), June, September and November.",February 2nd 2026,Branksome,sec1477@dorsetmark.org.uk,
RAM,1477,1477,Branksome,Branksome,Branksome,Warrant dated 10th June 1980. Consecrated 10th September 1980. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.00 pm on the fourth Thursday in February, (Installation), April and June and the third Friday in November.",February 26th 2026,Kinson,scribe1477@dorsetmark.org.uk,
Mark,1572,1572,Dorset Installed Mark Masters,Dorset Installed Mark Masters,Dorset Mark Masters,Warrant dated 27th August 1981. Consecrated 7th November 1981. Grand Patron Gold of the Mark Benevolent Fund.,"Tyles at at 6.30pm on the second Wednesday in July, and at 11.00am on the first Saturday in November (Installation).",November 1st 2025,Wimborne,sec1572@dorsetmark.org.uk,
RAM,1572,1572,Dorset Installed Commanders,Dorset Installed Commanders,Dorset Commanders,Warrant dated 7th February 1991. Consecrated 20th April 1991. Grand Patron of the Mark Benevolent Fund.,Tyles at 11.00 am on the third Saturday in April (Installation) and on the first Saturday in September.,April 19th 2025,Portland,scribe1572@dorsetmark.org.uk,
Mark,1635,1635,Durnovarian,Durnovarian,Durnovarian,Warrant dated 15th July 1986. Consecrated 27th September 1986. Grand Patron Gold of the Mark Benevolent Fund.,"Tyles at 6.30 pm on the first Tuesday in March, May and October (Installation) and the fourth Tuesday in November.",October 7th 2025,Dorchester,sec1635@dorsetmark.org.uk,
Mark,1925,1925,Dorset Mark Stewards,Dorset Mark Stewards,Dorset Stewards,Warrant and Consecration dated 1st June 2011. Vice Patron of the Mark Benevolent Fund.,Tyles at 11.00 am on the first Wednesday in June (Installation) and the last Wednesday in November.,June 4th 2025,Blandford,scribe1925@dorsetmark.org.uk,
Mark,2053,2053,Brownsea Island,Brownsea Island,Brownsea Island,Warrant and Consecration dated 19th August 2023.,"Tyles at 6.00 am on the third Wednesday in January, March, July (Installation) and October.",July 16th 2025,Blandford,sec2053@dorsetmark.org.uk,
RA,137,137,Chapter of Amity,Chapter of Amity,Amity,"Charter dated 26 June 1780. Centenary Warrant dated 1969, granted retrospectively 1975.","Tyles at 6.00pm on the second Monday in March, May (Installation 5.00pm), October and December.",May 12th 2025,Poole,ra137@dorsetfreemasonry.info,
RA,170,170,All Souls Chapter,All Souls Chapter,All Souls,Charter dated 7 May 1807. Charter of Confirmation dated November 1821. Centenary Charter granted 1907. Bi-Centenary Charter granted 2007.,"Tyles at 6.00pm on the first Friday in February, March, April, October, November (Installation) and December.",November 7th 2025,Weymouth,ra170@dorsetfreemasonry.info,
RA,386,386,Chapter of Unity,Chapter of Unity,Unity,Charter dated August 1887.,"Tyles at 6.00 pm on the third Wednesday in January, April, July and October (Installation).",October 15th 2025,Wareham,ra386@dorsetfreemasonry.info,
